region;component;tree_type;Rhtkg_2011;Rhtkg_2016;Rhtkg_2021;Rhtkg_2026;Rhtkg_2031;Rhtkg_2041;Rhtkg_2051;Rhtkg_2061;Mtkg_2011;Mtkg_2016;Mtkg_2021;Mtkg_2026;Mtkg_2031;Mtkg_2041;Mtkg_2051;Mtkg_2061;Ptkg_2011;Ptkg_2016;Ptkg_2021;Ptkg_2026;Ptkg_2031;Ptkg_2041;Ptkg_2051;Ptkg_2061;Vatkg_2011;Vatkg_2016;Vatkg_2021;Vatkg_2026;Vatkg_2031;Vatkg_2041;Vatkg_2051;Vatkg_2061;Jatkg_2011;Jatkg_2016;Jatkg_2021;Jatkg_2026;Jatkg_2031;Jatkg_2041;Jatkg_2051;Jatkg_2061
south;1;pine;8.529682702;8.092118731;7.847492323;6.661207779;5.938075742;4.170163767;2.782753327;1.705475947;19.15579598;20.51576507;21.92720247;21.33137558;19.66630603;13.53153014;8.787017002;7.493044822;32.85267008;33.38610095;35.15332846;35.6785662;33.27754206;28.04901244;23.88880761;18.04374543;22.54115272;24.84278986;27.44539134;29.63511998;28.99461763;29.97959184;31.7963669;20.74837407;10.13636364;12.52406417;15.21390374;17.66042781;20.48663102;26.69251337;30.21925134;24.98930481
south;1;spruce;21.12845445;22.91504606;26.14406346;27.22799386;29.89303992;36.08341863;44.7290174;51.33597748;18.81715611;20.17295209;22.41854714;22.56584235;22.94868624;24.15440495;26.75517774;25.96846986;3.353767374;3.438624726;3.680614484;3.893635699;3.950109729;3.678127286;3.529480614;2.698902707;0.253420049;0.286611348;0.342229199;0.389773492;0.412648576;0.46108993;0.54743216;0.41646109;0.018716578;0.00802139;0.00802139;0.00802139;0.00802139;0.00802139;0.018716578;0.037433155
south;1;deciduous;24.76509724;23.44984647;24.88382805;24.17528147;23.33725691;22.11438076;19.58623337;19.0926305;15.91251932;14.08531685;14.21035549;13.3114374;12.29659969;10.76120556;9.783925811;10.13709428;6.898024872;6.40277981;6.863057791;6.913972202;7.055888808;6.094806145;5.828237015;4.571470373;1.727965912;1.962771922;2.318681319;2.656425207;2.907826867;3.239291321;3.53487329;2.374074905;0.639037433;0.807486631;1.010695187;1.117647059;1.098930481;1.652406417;1.759358289;2.07486631
south;2;pine;0.631525077;0.579836233;0.542988741;0.449846469;0.390225179;0.262026612;0.170163767;0.096980553;1.531530139;1.5561051;1.592581144;1.49984544;1.357032457;0.92194745;0.619629057;0.511591963;3.05442575;2.998829554;3.047695684;2.985954645;2.750987564;2.246525238;1.896122897;1.391514265;2.747252747;2.944606414;3.146669657;3.289975331;3.147566719;3.135680646;3.221125813;2.111684234;1.550802139;1.842245989;2.13368984;2.387700535;2.655080214;3.21657754;3.475935829;2.855614973
south;2;spruce;2.732599795;2.965199591;3.371033777;3.495394063;3.802712385;4.491044012;5.441658137;6.126663255;2.497063369;2.65935085;2.934003091;2.936321484;2.964296754;3.067851623;3.341731066;3.202627512;0.474469642;0.483394294;0.513972202;0.538405267;0.540892465;0.496854426;0.471543526;0.358302853;0.038573671;0.043283247;0.051132541;0.056963445;0.059430366;0.064364207;0.074231891;0.052253869;0.002673797;0;0;0;0;0;0.002673797;0.00802139
south;2;deciduous;3.916325486;3.661207779;3.833162743;3.680143296;3.51432958;3.278915046;2.896366428;2.835721597;2.584080371;2.257187017;2.244358578;2.082998454;1.907573416;1.652241113;1.502782071;1.559196291;1.200146306;1.0911485;1.148939283;1.141331383;1.151426481;0.983174835;0.938551573;0.748646672;0.308365104;0.346490244;0.402556627;0.455707558;0.495178291;0.549899081;0.597219107;0.406144876;0.117647059;0.14973262;0.184491979;0.200534759;0.197860963;0.29144385;0.312834225;0.36631016
south;3;pine;1.610286592;1.517144319;1.444984647;1.221084954;1.067553736;0.727737973;0.472364381;0.26381781;3.715919629;3.909582689;4.083307573;3.904636785;3.534930448;2.36862442;1.531839258;1.27187017;6.882662765;6.918946598;7.132699342;7.0835406;6.481784931;5.286174104;4.397366496;3.281053402;5.846378112;6.345144651;6.840547208;7.202960305;6.880915003;6.80331913;6.904014353;4.502579054;2.877005348;3.465240642;4.082887701;4.620320856;5.219251337;6.521390374;7.176470588;5.951871658
south;3;spruce;5.752302968;6.198311157;6.97185261;7.15839304;7.685005118;8.808597748;10.4055783;11.49104401;5.213137558;5.485007728;5.978825348;5.909891808;5.901081917;5.970170015;6.385007728;6.038794436;1.045940015;1.058376006;1.116752012;1.159326993;1.154791514;1.046378932;0.982297001;0.743672275;0.090379009;0.099573895;0.115945279;0.126037228;0.129625477;0.134783584;0.149360843;0.093967257;0.00802139;0.002673797;0.002673797;0.002673797;0.002673797;0.005347594;0.010695187;0.016042781
south;3;deciduous;4.997697032;4.59493347;4.684749232;4.448311157;4.216223132;3.927072671;3.47185261;3.388178096;3.262905719;2.793199382;2.722256569;2.459659969;2.223956723;1.920401855;1.783153014;1.885162287;1.641111924;1.471543526;1.509583029;1.471836138;1.4582297;1.218288222;1.162253109;0.928017557;0.396725723;0.446288405;0.513568065;0.572774165;0.619869926;0.703296703;0.758017493;0.530612245;0.176470588;0.21657754;0.259358289;0.278074866;0.280748663;0.403743316;0.454545455;0.513368984
south;4;pine;0.548874104;0.500767656;0.463664278;0.382292733;0.328300921;0.214943705;0.136898669;0.074718526;1.349304482;1.358887172;1.376816074;1.284853168;1.152086553;0.771406491;0.519783617;0.421638331;2.703438186;2.64403804;2.672567666;2.601901975;2.390197513;1.92582297;1.623994148;1.192684711;2.484862077;2.657098004;2.829782462;2.949540256;2.812962548;2.769006504;2.809374299;1.823503028;1.379679144;1.636363636;1.898395722;2.125668449;2.368983957;2.868983957;3.082887701;2.516042781
