region;soil;ground;litter_source;litter_type;year;A;W;E;N
south;org;above;logging;coarse_woody_litter;2011;0.092588792;0.002243933;0.000260942;0.036531267
south;org;above;logging;coarse_woody_litter;2012;0.091571572;0.002236437;0.000273218;0.036200864
south;org;above;logging;coarse_woody_litter;2013;0.105608433;0.002559996;0.000295643;0.041822633
south;org;above;logging;coarse_woody_litter;2014;0.104248289;0.002537954;0.000301542;0.041325433
south;org;above;logging;coarse_woody_litter;2015;0.1140361;0.002757696;0.000313202;0.045146353
south;org;above;logging;coarse_woody_litter;2016;0.119129407;0.00288184;0.000325352;0.047334104
south;org;above;logging;coarse_woody_litter;2017;0.12592047;0.003064211;0.000359201;0.050148362
south;org;above;logging;coarse_woody_litter;2018;0.141726555;0.003455816;0.000410423;0.056473293
south;org;above;logging;coarse_woody_litter;2019;0.134700452;0.003267021;0.000375759;0.053532934
south;org;above;logging;coarse_woody_litter;2020;0.123504348;0.00299022;0.000339945;0.049058352
south;org;above;logging;coarse_woody_litter;2021;0.137352033;0.003333246;0.000383278;0.054691767
south;org;above;logging;coarse_woody_litter;2022;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2023;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2024;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2025;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2026;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2027;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2028;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2029;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2030;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2031;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2032;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2033;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2034;0.105041236;0.002563731;0.000302397;0.042109908
south;org;above;logging;coarse_woody_litter;2035;0.105041236;0.002563731;0.000302397;0.042109908
