region;peat_type;tree_type;2011;2016;2021;2026;2031;2041;2051;2061
south;1;pine;2.79;2.57;2.42;2.02;1.76;1.20;0.78;0.45
south;1;spruce;8.14;8.83;10.02;10.39;11.11;12.54;14.48;15.78
south;1;deciduous;8.33;7.59;7.73;7.23;6.73;6.13;5.50;5.51
south;2;pine;6.62;6.78;6.98;6.61;5.99;4.08;2.73;2.26
south;2;spruce;7.75;8.15;8.89;8.87;8.89;8.95;9.40;8.79
south;2;deciduous;5.75;4.90;4.72;4.29;3.85;3.27;2.99;3.15
south;4;pine;12.83;12.65;12.88;12.65;11.63;9.54;8.03;5.92
south;4;spruce;1.69;1.70;1.78;1.83;1.80;1.59;1.46;1.08
south;4;deciduous;3.04;2.68;2.74;2.65;2.59;2.14;2.03;1.69
south;6;pine;11.37;12.20;13.03;13.61;13.00;12.95;13.29;8.76
south;6;spruce;0.15;0.17;0.20;0.22;0.22;0.23;0.25;0.16
south;6;deciduous;0.83;0.92;1.04;1.15;1.22;1.34;1.43;1.00
south;7;pine;6.35;7.56;8.75;9.77;10.86;13.17;14.22;11.68
south;7;spruce;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.03
south;7;deciduous;0.33;0.42;0.51;0.55;0.54;0.76;0.81;0.95
north;1;pine;2.68;2.67;2.64;2.26;1.83;1.21;0.73;0.65
north;1;spruce;4.49;5.71;6.83;7.38;8.11;10.18;11.84;14.36
north;1;deciduous;9.46;9.69;10.53;10.30;10.02;9.47;9.78;10.66
north;2;pine;6.16;6.56;6.74;6.36;5.79;4.80;3.51;3.06
north;2;spruce;4.56;5.32;5.68;5.71;5.93;6.41;7.06;7.98
north;2;deciduous;6.04;6.33;6.58;6.66;6.53;6.44;6.83;7.53
north;4;pine;9.56;10.30;10.81;10.93;10.79;9.68;7.98;6.10
north;4;spruce;1.23;1.46;1.66;1.85;1.99;2.07;2.05;1.89
north;4;deciduous;2.63;2.89;3.16;3.30;3.47;3.50;3.60;3.84
north;6;pine;8.33;9.29;10.30;11.17;11.41;11.93;11.87;9.22
north;6;spruce;0.21;0.25;0.30;0.35;0.38;0.45;0.50;0.41
north;6;deciduous;0.77;0.91;1.10;1.27;1.40;1.69;2.06;1.98
north;7;pine;4.35;5.11;5.90;6.61;7.26;8.66;10.26;11.19
north;7;spruce;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16
north;7;deciduous;0.66;0.79;0.91;1.03;1.09;1.12;1.19;1.26
