maku,fra12,suo12,tkg,keskip12,totala
1,1,1,1,45,153.51512936
1,1,1,2,31,105.75486689
1,1,1,3,15,51.171709786
1,1,1,4,6,20.468683915
1,1,1,5,19,64.817499063
1,1,1,6,19,64.817499063
1,2,1,1,1,3.4114473191
2,1,1,1,48,160.31864704
2,1,1,2,89,297.25749139
2,1,1,3,21,70.13940808
2,1,1,4,18,60.11949264
2,1,1,5,13,43.419633573
2,1,1,6,37,123.57895709
2,1,1,7,3,10.01991544
2,3,1,7,1,3.3399718133
4,1,1,1,83,283.93951444
4,1,1,2,79,270.25568241
4,1,1,3,61,208.67843832
4,1,1,4,48,164.20598425
4,1,1,5,54,184.73173228
4,1,1,6,79,270.25568241
4,1,1,7,2,6.8419160105
4,2,1,6,3,10.262874016
4,3,1,1,0,0
4,3,1,6,4,13.683832021
5,1,1,1,41,141.43911745
5,1,1,2,47,162.13752488
5,1,1,3,30,103.49203716
5,1,1,4,19,65.544956868
5,1,1,5,10,34.49734572
5,1,1,6,19,65.544956868
5,2,1,3,1,3.449734572
6,1,1,1,78,267.37643791
6,1,1,2,103,353.07401416
6,1,1,3,51,174.82305556
6,1,1,4,59,202.24627996
6,1,1,5,84,287.94385621
6,1,1,6,86,294.79966231
6,1,1,7,4,13.7116122
6,2,1,5,1,3.4279030501
6,2,1,7,1,3.4279030501
7,1,1,1,31,104.77284301
7,1,1,2,26,87.873997361
7,1,1,3,13,43.936998681
7,1,1,4,12,40.557229551
7,1,1,5,6,20.278614776
7,1,1,6,10,33.797691293
7,3,1,2,1,3.3797691293
8,1,1,1,20,68.336031851
8,1,1,2,31,105.92084937
8,1,1,3,20,68.336031851
8,1,1,4,29,99.087246184
8,1,1,5,11,37.584817518
8,1,1,6,17,58.085627074
8,3,1,4,1,3.4168015926
8,3,1,6,1,3.4168015926
8,3,1,7,1,3.4168015926
9,1,1,1,33,113.69759379
9,1,1,2,44,151.59679172
9,1,1,3,21,72.35301423
9,1,1,4,28,96.47068564
9,1,1,5,16,55.12610608
9,1,1,6,36,124.03373868
9,2,1,2,1,3.44538163
9,2,1,3,1,3.44538163
9,3,1,1,1,3.44538163
10,1,1,1,111,370.85836185
10,1,1,2,147,491.13674947
10,1,1,3,90,300.69596906
10,1,1,4,110,367.51729552
10,1,1,5,40,133.64265292
10,1,1,6,55,183.75864776
10,1,1,7,1,3.3410663229
10,2,1,3,1,3.3410663229
10,2,1,7,1,3.3410663229
10,3,1,3,1,3.3410663229
10,3,1,5,1,3.3410663229
11,1,1,1,130,505.22699884
11,1,1,2,165,641.24965238
11,1,1,3,81,314.79528389
11,1,1,4,128,497.45427578
11,1,1,5,67,260.38622248
11,1,1,6,117,454.70429896
11,1,1,7,5,19.431807648
11,2,1,6,6,23.318169177
11,2,1,7,1,3.8863615295
11,3,1,6,2,7.7727230591
