maakunta;peat_type;year;basal_area
1;1;2015;25.3568135635
1;1;2016;25.3568135635
1;1;2017;25.3568135635
1;1;2018;25.3568135635
1;1;2019;25.3568135635
1;1;2020;25.3568135635
1;1;2021;25.3568135635
1;2;2015;23.2626000934257
1;2;2016;23.2626000934257
1;2;2017;23.2626000934257
1;2;2018;23.2626000934257
1;2;2019;23.2626000934257
1;2;2020;23.2626000934257
1;2;2021;23.2626000934257
1;4;2015;23.9467018839759
1;4;2016;23.9467018839759
1;4;2017;23.9467018839759
1;4;2018;23.9467018839759
1;4;2019;23.9467018839759
1;4;2020;23.9467018839759
1;4;2021;23.9467018839759
1;6;2015;16.9054268925
1;6;2016;16.9054268925
1;6;2017;16.9054268925
1;6;2018;16.9054268925
1;6;2019;16.9054268925
1;6;2020;16.9054268925
1;6;2021;16.9054268925
1;7;2015;0
1;7;2016;0
1;7;2017;0
1;7;2018;0
1;7;2019;0
1;7;2020;0
1;7;2021;0
2;1;2015;25.1818749316
2;1;2016;25.1818749316
2;1;2017;25.1818749316
2;1;2018;25.1818749316
2;1;2019;25.1818749316
2;1;2020;25.1818749316
2;1;2021;25.1818749316
2;2;2015;24.736039126321
2;2;2016;24.736039126321
2;2;2017;24.736039126321
2;2;2018;24.736039126321
2;2;2019;24.736039126321
2;2;2020;24.736039126321
2;2;2021;24.736039126321
2;4;2015;22.1570751008365
2;4;2016;22.1570751008365
2;4;2017;22.1570751008365
2;4;2018;22.1570751008365
2;4;2019;22.1570751008365
2;4;2020;22.1570751008365
2;4;2021;22.1570751008365
2;6;2015;16.0157370871
2;6;2016;16.0157370871
2;6;2017;16.0157370871
2;6;2018;16.0157370871
2;6;2019;16.0157370871
2;6;2020;16.0157370871
2;6;2021;16.0157370871
2;7;2015;9.8750798501
2;7;2016;9.8750798501
2;7;2017;9.8750798501
2;7;2018;9.8750798501
2;7;2019;9.8750798501
2;7;2020;9.8750798501
2;7;2021;9.8750798501
4;1;2015;21.2943884865
4;1;2016;21.2943884865
4;1;2017;21.2943884865
4;1;2018;21.2943884865
4;1;2019;21.2943884865
4;1;2020;21.2943884865
4;1;2021;21.2943884865
4;2;2015;21.1010914440187
4;2;2016;21.1010914440187
4;2;2017;21.1010914440187
4;2;2018;21.1010914440187
4;2;2019;21.1010914440187
4;2;2020;21.1010914440187
4;2;2021;21.1010914440187
4;4;2015;17.1776462126512
4;4;2016;17.1776462126512
4;4;2017;17.1776462126512
4;4;2018;17.1776462126512
4;4;2019;17.1776462126512
4;4;2020;17.1776462126512
4;4;2021;17.1776462126512
4;6;2015;14.9546389059
4;6;2016;14.9546389059
4;6;2017;14.9546389059
4;6;2018;14.9546389059
4;6;2019;14.9546389059
4;6;2020;14.9546389059
4;6;2021;14.9546389059
4;7;2015;12.7181214478
4;7;2016;12.7181214478
4;7;2017;12.7181214478
4;7;2018;12.7181214478
4;7;2019;12.7181214478
4;7;2020;12.7181214478
4;7;2021;12.7181214478
