maakunta;peat_type;tree_type;year;basal_area
1;1;pine;2015;1.3651145405
1;1;pine;2016;1.3651145405
1;1;pine;2017;1.3651145405
1;1;pine;2018;1.3651145405
1;1;pine;2019;1.3651145405
1;1;pine;2020;1.3651145405
1;1;pine;2021;1.3651145405
1;1;spruce;2015;13.280082118
1;1;spruce;2016;13.280082118
1;1;spruce;2017;13.280082118
1;1;spruce;2018;13.280082118
1;1;spruce;2019;13.280082118
1;1;spruce;2020;13.280082118
1;1;spruce;2021;13.280082118
1;1;deciduous;2015;10.711616905
1;1;deciduous;2016;10.711616905
1;1;deciduous;2017;10.711616905
1;1;deciduous;2018;10.711616905
1;1;deciduous;2019;10.711616905
1;1;deciduous;2020;10.711616905
1;1;deciduous;2021;10.711616905
1;2;pine;2015;6.09869916615212
1;2;pine;2016;6.09869916615212
1;2;pine;2017;6.09869916615212
1;2;pine;2018;6.09869916615212
1;2;pine;2019;6.09869916615212
1;2;pine;2020;6.09869916615212
1;2;pine;2021;6.09869916615212
1;2;spruce;2015;10.1360305378299
1;2;spruce;2016;10.1360305378299
1;2;spruce;2017;10.1360305378299
1;2;spruce;2018;10.1360305378299
1;2;spruce;2019;10.1360305378299
1;2;spruce;2020;10.1360305378299
1;2;spruce;2021;10.1360305378299
1;2;deciduous;2015;7.02787038944376
1;2;deciduous;2016;7.02787038944376
1;2;deciduous;2017;7.02787038944376
1;2;deciduous;2018;7.02787038944376
1;2;deciduous;2019;7.02787038944376
1;2;deciduous;2020;7.02787038944376
1;2;deciduous;2021;7.02787038944376
1;4;pine;2015;17.8613889587668
1;4;pine;2016;17.8613889587668
1;4;pine;2017;17.8613889587668
1;4;pine;2018;17.8613889587668
1;4;pine;2019;17.8613889587668
1;4;pine;2020;17.8613889587668
1;4;pine;2021;17.8613889587668
1;4;spruce;2015;1.62422456320746
1;4;spruce;2016;1.62422456320746
1;4;spruce;2017;1.62422456320746
1;4;spruce;2018;1.62422456320746
1;4;spruce;2019;1.62422456320746
1;4;spruce;2020;1.62422456320746
1;4;spruce;2021;1.62422456320746
1;4;deciduous;2015;4.46108836200164
1;4;deciduous;2016;4.46108836200164
1;4;deciduous;2017;4.46108836200164
1;4;deciduous;2018;4.46108836200164
1;4;deciduous;2019;4.46108836200164
1;4;deciduous;2020;4.46108836200164
1;4;deciduous;2021;4.46108836200164
1;6;pine;2015;16.035471039
1;6;pine;2016;16.035471039
1;6;pine;2017;16.035471039
1;6;pine;2018;16.035471039
1;6;pine;2019;16.035471039
1;6;pine;2020;16.035471039
1;6;pine;2021;16.035471039
1;6;spruce;2015;0.052344962
1;6;spruce;2016;0.052344962
1;6;spruce;2017;0.052344962
1;6;spruce;2018;0.052344962
1;6;spruce;2019;0.052344962
1;6;spruce;2020;0.052344962
1;6;spruce;2021;0.052344962
1;6;deciduous;2015;0.8176108915
1;6;deciduous;2016;0.8176108915
1;6;deciduous;2017;0.8176108915
1;6;deciduous;2018;0.8176108915
1;6;deciduous;2019;0.8176108915
1;6;deciduous;2020;0.8176108915
1;6;deciduous;2021;0.8176108915
1;7;pine;2015;0
1;7;pine;2016;0
1;7;pine;2017;0
1;7;pine;2018;0
1;7;pine;2019;0
1;7;pine;2020;0
1;7;pine;2021;0
1;7;spruce;2015;0
1;7;spruce;2016;0
1;7;spruce;2017;0
1;7;spruce;2018;0
1;7;spruce;2019;0
1;7;spruce;2020;0
1;7;spruce;2021;0
1;7;deciduous;2015;0
1;7;deciduous;2016;0
