maakunta;tkg;species;component;year;bm;ala
1;1;1;1;2015;4.9670294928;NA
1;1;1;1;2016;4.9670294928;153.51512936
1;1;1;1;2017;4.9670294928;NA
1;1;1;1;2018;4.9670294928;NA
1;1;1;1;2019;4.9670294928;NA
1;1;1;1;2020;4.9670294928;NA
1;1;1;1;2021;4.9670294928;NA
1;1;1;2;2015;0.3078157262;NA
1;1;1;2;2016;0.3078157262;153.51512936
1;1;1;2;2017;0.3078157262;NA
1;1;1;2;2018;0.3078157262;NA
1;1;1;2;2019;0.3078157262;NA
1;1;1;2;2020;0.3078157262;NA
1;1;1;2;2021;0.3078157262;NA
1;1;1;3;2015;0.5459300388;NA
1;1;1;3;2016;0.5459300388;153.51512936
1;1;1;3;2017;0.5459300388;NA
1;1;1;3;2018;0.5459300388;NA
1;1;1;3;2019;0.5459300388;NA
1;1;1;3;2020;0.5459300388;NA
1;1;1;3;2021;0.5459300388;NA
1;1;1;4;2015;0.1841933666;NA
1;1;1;4;2016;0.1841933666;153.51512936
1;1;1;4;2017;0.1841933666;NA
1;1;1;4;2018;0.1841933666;NA
1;1;1;4;2019;0.1841933666;NA
1;1;1;4;2020;0.1841933666;NA
1;1;1;4;2021;0.1841933666;NA
1;1;1;5;2015;0.1952406775;NA
1;1;1;5;2016;0.1952406775;153.51512936
1;1;1;5;2017;0.1952406775;NA
1;1;1;5;2018;0.1952406775;NA
1;1;1;5;2019;0.1952406775;NA
1;1;1;5;2020;0.1952406775;NA
1;1;1;5;2021;0.1952406775;NA
1;1;1;6;2015;0.3827539185;NA
1;1;1;6;2016;0.3827539185;153.51512936
1;1;1;6;2017;0.3827539185;NA
1;1;1;6;2018;0.3827539185;NA
1;1;1;6;2019;0.3827539185;NA
1;1;1;6;2020;0.3827539185;NA
1;1;1;6;2021;0.3827539185;NA
1;1;1;7;2015;1.2180116636;NA
1;1;1;7;2016;1.2180116636;153.51512936
1;1;1;7;2017;1.2180116636;NA
1;1;1;7;2018;1.2180116636;NA
1;1;1;7;2019;1.2180116636;NA
1;1;1;7;2020;1.2180116636;NA
1;1;1;7;2021;1.2180116636;NA
1;1;2;1;2015;38.412306566;NA
1;1;2;1;2016;38.412306566;153.51512936
1;1;2;1;2017;38.412306566;NA
1;1;2;1;2018;38.412306566;NA
1;1;2;1;2019;38.412306566;NA
1;1;2;1;2020;38.412306566;NA
1;1;2;1;2021;38.412306566;NA
1;1;2;2;2015;4.3806015632;NA
1;1;2;2;2016;4.3806015632;153.51512936
1;1;2;2;2017;4.3806015632;NA
1;1;2;2;2018;4.3806015632;NA
1;1;2;2;2019;4.3806015632;NA
1;1;2;2;2020;4.3806015632;NA
1;1;2;2;2021;4.3806015632;NA
1;1;2;3;2015;10.203753454;NA
1;1;2;3;2016;10.203753454;153.51512936
1;1;2;3;2017;10.203753454;NA
1;1;2;3;2018;10.203753454;NA
1;1;2;3;2019;10.203753454;NA
1;1;2;3;2020;10.203753454;NA
1;1;2;3;2021;10.203753454;NA
1;1;2;4;2015;6.0845979024;NA
1;1;2;4;2016;6.0845979024;153.51512936
1;1;2;4;2017;6.0845979024;NA
1;1;2;4;2018;6.0845979024;NA
1;1;2;4;2019;6.0845979024;NA
1;1;2;4;2020;6.0845979024;NA
1;1;2;4;2021;6.0845979024;NA
1;1;2;5;2015;1.6428673165;NA
1;1;2;5;2016;1.6428673165;153.51512936
1;1;2;5;2017;1.6428673165;NA
1;1;2;5;2018;1.6428673165;NA
1;1;2;5;2019;1.6428673165;NA
1;1;2;5;2020;1.6428673165;NA
1;1;2;5;2021;1.6428673165;NA
1;1;2;6;2015;3.7913187524;NA
1;1;2;6;2016;3.7913187524;153.51512936
1;1;2;6;2017;3.7913187524;NA
1;1;2;6;2018;3.7913187524;NA
1;1;2;6;2019;3.7913187524;NA
1;1;2;6;2020;3.7913187524;NA
