maakunta;year;peat_type;total_living_litter
1;2015;1;3.75954762702551
1;2015;2;3.07158523377497
1;2015;4;3.97914695733082
1;2015;6;2.42510127914113
1;2015;7;1.2608332
1;2016;1;3.75954762702551
1;2016;2;3.07158523377497
1;2016;4;3.97914695733082
1;2016;6;2.42510127914113
1;2016;7;1.2608332
1;2017;1;3.75954762702551
1;2017;2;3.07158523377497
1;2017;4;3.97914695733082
1;2017;6;2.42510127914113
1;2017;7;1.2608332
1;2018;1;3.75954762702551
1;2018;2;3.07158523377497
1;2018;4;3.97914695733082
1;2018;6;2.42510127914113
1;2018;7;1.2608332
1;2019;1;3.75954762702551
1;2019;2;3.07158523377497
1;2019;4;3.97914695733082
1;2019;6;2.42510127914113
1;2019;7;1.2608332
1;2020;1;3.75954762702551
1;2020;2;3.07158523377497
1;2020;4;3.97914695733082
1;2020;6;2.42510127914113
1;2020;7;1.2608332
1;2021;1;3.75954762702551
1;2021;2;3.07158523377497
1;2021;4;3.97914695733082
1;2021;6;2.42510127914113
1;2021;7;1.2608332
2;2015;1;3.73351564560365
2;2015;2;3.03271300828471
2;2015;4;3.57651746377233
2;2015;6;2.36177380549603
2;2015;7;1.60814103301909
2;2016;1;3.73351564560365
2;2016;2;3.03271300828471
2;2016;4;3.57651746377233
2;2016;6;2.36177380549603
2;2016;7;1.60814103301909
2;2017;1;3.73351564560365
2;2017;2;3.03271300828471
2;2017;4;3.57651746377233
2;2017;6;2.36177380549603
2;2017;7;1.60814103301909
2;2018;1;3.73351564560365
2;2018;2;3.03271300828471
2;2018;4;3.57651746377233
2;2018;6;2.36177380549603
2;2018;7;1.60814103301909
2;2019;1;3.73351564560365
2;2019;2;3.03271300828471
2;2019;4;3.57651746377233
2;2019;6;2.36177380549603
2;2019;7;1.60814103301909
2;2020;1;3.73351564560365
2;2020;2;3.03271300828471
2;2020;4;3.57651746377233
2;2020;6;2.36177380549603
2;2020;7;1.60814103301909
2;2021;1;3.73351564560365
2;2021;2;3.03271300828471
2;2021;4;3.57651746377233
2;2021;6;2.36177380549603
2;2021;7;1.60814103301909
4;2015;1;3.37952683147118
4;2015;2;2.79571090955477
4;2015;4;3.44534496673383
4;2015;6;2.35336591175281
4;2015;7;1.88598998851793
4;2016;1;3.37952683147118
4;2016;2;2.79571090955477
4;2016;4;3.44534496673383
4;2016;6;2.35336591175281
4;2016;7;1.88598998851793
4;2017;1;3.37952683147118
4;2017;2;2.79571090955477
4;2017;4;3.44534496673383
4;2017;6;2.35336591175281
4;2017;7;1.88598998851793
4;2018;1;3.37952683147118
4;2018;2;2.79571090955477
4;2018;4;3.44534496673383
4;2018;6;2.35336591175281
4;2018;7;1.88598998851793
4;2019;1;3.37952683147118
4;2019;2;2.79571090955477
4;2019;4;3.44534496673383
4;2019;6;2.35336591175281
4;2019;7;1.88598998851793
4;2020;1;3.37952683147118
4;2020;2;2.79571090955477
4;2020;4;3.44534496673383
4;2020;6;2.35336591175281
4;2020;7;1.88598998851793
4;2021;1;3.37952683147118
4;2021;2;2.79571090955477
4;2021;4;3.44534496673383
4;2021;6;2.35336591175281
4;2021;7;1.88598998851793
5;2015;1;3.40967671237592
5;2015;2;2.82488966865499
5;2015;4;3.77613205057668
5;2015;6;2.36150209690181
5;2015;7;1.2608332
5;2016;1;3.40967671237592
5;2016;2;2.82488966865499
5;2016;4;3.77613205057668
5;2016;6;2.36150209690181
5;2016;7;1.2608332
5;2017;1;3.40967671237592
5;2017;2;2.82488966865499
5;2017;4;3.77613205057668
5;2017;6;2.36150209690181
5;2017;7;1.2608332
5;2018;1;3.40967671237592
5;2018;2;2.82488966865499
5;2018;4;3.77613205057668
5;2018;6;2.36150209690181
5;2018;7;1.2608332
5;2019;1;3.40967671237592
5;2019;2;2.82488966865499
5;2019;4;3.77613205057668
5;2019;6;2.36150209690181
5;2019;7;1.2608332
5;2020;1;3.40967671237592
5;2020;2;2.82488966865499
5;2020;4;3.77613205057668
5;2020;6;2.36150209690181
5;2020;7;1.2608332
5;2021;1;3.40967671237592
5;2021;2;2.82488966865499
5;2021;4;3.77613205057668
5;2021;6;2.36150209690181
5;2021;7;1.2608332
6;2015;1;3.27933132091349
6;2015;2;2.80043563861096
6;2015;4;3.57578836610447
6;2015;6;2.31411652491043
6;2015;7;1.51896679843139
6;2016;1;3.27933132091349
6;2016;2;2.80043563861096
6;2016;4;3.57578836610447
6;2016;6;2.31411652491043
6;2016;7;1.51896679843139
6;2017;1;3.27933132091349
6;2017;2;2.80043563861096
6;2017;4;3.57578836610447
6;2017;6;2.31411652491043
6;2017;7;1.51896679843139
6;2018;1;3.27933132091349
6;2018;2;2.80043563861096
6;2018;4;3.57578836610447
6;2018;6;2.31411652491043
6;2018;7;1.51896679843139
6;2019;1;3.27933132091349
6;2019;2;2.80043563861096
6;2019;4;3.57578836610447
6;2019;6;2.31411652491043
6;2019;7;1.51896679843139
6;2020;1;3.27933132091349
6;2020;2;2.80043563861096
6;2020;4;3.57578836610447
6;2020;6;2.31411652491043
6;2020;7;1.51896679843139
6;2021;1;3.27933132091349
6;2021;2;2.80043563861096
6;2021;4;3.57578836610447
6;2021;6;2.31411652491043
6;2021;7;1.51896679843139
7;2015;1;3.5411634059392
7;2015;2;2.85198803442001
7;2015;4;3.79954337486047
7;2015;6;2.38206650707614
7;2015;7;1.2608332
7;2016;1;3.5411634059392
7;2016;2;2.85198803442001
7;2016;4;3.79954337486047
7;2016;6;2.38206650707614
7;2016;7;1.2608332
7;2017;1;3.5411634059392
7;2017;2;2.85198803442001
7;2017;4;3.79954337486047
7;2017;6;2.38206650707614
7;2017;7;1.2608332
7;2018;1;3.5411634059392
7;2018;2;2.85198803442001
7;2018;4;3.79954337486047
7;2018;6;2.38206650707614
7;2018;7;1.2608332
