maakunta;year;peat_type;litter_type;ground;living_tree_litter;litter_source
1;2015;1;fine_woody_litter;above;0.24334200900635;living
1;2015;1;fine_woody_litter;below;0.17363105858412;living
1;2015;1;non-woody_litter;above;0.950067897526;living
1;2015;2;fine_woody_litter;above;0.237632055098121;living
1;2015;2;fine_woody_litter;below;0.167766875937494;living
1;2015;2;non-woody_litter;above;0.918560651084478;living
1;2015;4;fine_woody_litter;above;0.295578993816869;living
1;2015;4;fine_woody_litter;below;0.162015869259022;living
1;2015;4;non-woody_litter;above;0.887905589843942;living
1;2015;6;fine_woody_litter;above;0.190725912227915;living
1;2015;6;fine_woody_litter;below;0.10296884889285;living
1;2015;6;non-woody_litter;above;0.510258081034;living
1;2015;7;fine_woody_litter;above;0;living
1;2015;7;fine_woody_litter;below;0;living
1;2015;7;non-woody_litter;above;0;living
1;2016;1;fine_woody_litter;above;0.24334200900635;living
1;2016;1;fine_woody_litter;below;0.17363105858412;living
1;2016;1;non-woody_litter;above;0.950067897526;living
1;2016;2;fine_woody_litter;above;0.237632055098121;living
1;2016;2;fine_woody_litter;below;0.167766875937494;living
1;2016;2;non-woody_litter;above;0.918560651084478;living
1;2016;4;fine_woody_litter;above;0.295578993816869;living
1;2016;4;fine_woody_litter;below;0.162015869259022;living
1;2016;4;non-woody_litter;above;0.887905589843942;living
1;2016;6;fine_woody_litter;above;0.190725912227915;living
1;2016;6;fine_woody_litter;below;0.10296884889285;living
1;2016;6;non-woody_litter;above;0.510258081034;living
1;2016;7;fine_woody_litter;above;0;living
1;2016;7;fine_woody_litter;below;0;living
1;2016;7;non-woody_litter;above;0;living
1;2017;1;fine_woody_litter;above;0.24334200900635;living
1;2017;1;fine_woody_litter;below;0.17363105858412;living
1;2017;1;non-woody_litter;above;0.950067897526;living
1;2017;2;fine_woody_litter;above;0.237632055098121;living
1;2017;2;fine_woody_litter;below;0.167766875937494;living
1;2017;2;non-woody_litter;above;0.918560651084478;living
1;2017;4;fine_woody_litter;above;0.295578993816869;living
1;2017;4;fine_woody_litter;below;0.162015869259022;living
1;2017;4;non-woody_litter;above;0.887905589843942;living
1;2017;6;fine_woody_litter;above;0.190725912227915;living
1;2017;6;fine_woody_litter;below;0.10296884889285;living
1;2017;6;non-woody_litter;above;0.510258081034;living
1;2017;7;fine_woody_litter;above;0;living
1;2017;7;fine_woody_litter;below;0;living
1;2017;7;non-woody_litter;above;0;living
1;2018;1;fine_woody_litter;above;0.24334200900635;living
1;2018;1;fine_woody_litter;below;0.17363105858412;living
1;2018;1;non-woody_litter;above;0.950067897526;living
1;2018;2;fine_woody_litter;above;0.237632055098121;living
1;2018;2;fine_woody_litter;below;0.167766875937494;living
1;2018;2;non-woody_litter;above;0.918560651084478;living
1;2018;4;fine_woody_litter;above;0.295578993816869;living
1;2018;4;fine_woody_litter;below;0.162015869259022;living
1;2018;4;non-woody_litter;above;0.887905589843942;living
1;2018;6;fine_woody_litter;above;0.190725912227915;living
1;2018;6;fine_woody_litter;below;0.10296884889285;living
1;2018;6;non-woody_litter;above;0.510258081034;living
1;2018;7;fine_woody_litter;above;0;living
1;2018;7;fine_woody_litter;below;0;living
1;2018;7;non-woody_litter;above;0;living
1;2019;1;fine_woody_litter;above;0.24334200900635;living
1;2019;1;fine_woody_litter;below;0.17363105858412;living
1;2019;1;non-woody_litter;above;0.950067897526;living
1;2019;2;fine_woody_litter;above;0.237632055098121;living
1;2019;2;fine_woody_litter;below;0.167766875937494;living
1;2019;2;non-woody_litter;above;0.918560651084478;living
1;2019;4;fine_woody_litter;above;0.295578993816869;living
1;2019;4;fine_woody_litter;below;0.162015869259022;living
1;2019;4;non-woody_litter;above;0.887905589843942;living
1;2019;6;fine_woody_litter;above;0.190725912227915;living
1;2019;6;fine_woody_litter;below;0.10296884889285;living
1;2019;6;non-woody_litter;above;0.510258081034;living
1;2019;7;fine_woody_litter;above;0;living
1;2019;7;fine_woody_litter;below;0;living
1;2019;7;non-woody_litter;above;0;living
1;2020;1;fine_woody_litter;above;0.24334200900635;living
1;2020;1;fine_woody_litter;below;0.17363105858412;living
