maakunta;peat_type;year;drained_peatland_area
1;1;2015;15351.512936
1;1;2016;15351.512936
1;1;2017;15351.512936
1;1;2018;15351.512936
1;1;2019;15351.512936
1;1;2020;15351.512936
1;1;2021;15351.512936
1;2;2015;15692.6576676
1;2;2016;15692.6576676
1;2;2017;15692.6576676
1;2;2018;15692.6576676
1;2;2019;15692.6576676
1;2;2020;15692.6576676
1;2;2021;15692.6576676
1;4;2015;8528.6182978
1;4;2016;8528.6182978
1;4;2017;8528.6182978
1;4;2018;8528.6182978
1;4;2019;8528.6182978
1;4;2020;8528.6182978
1;4;2021;8528.6182978
1;6;2015;6481.7499063
1;6;2016;6481.7499063
1;6;2017;6481.7499063
1;6;2018;6481.7499063
1;6;2019;6481.7499063
1;6;2020;6481.7499063
1;6;2021;6481.7499063
1;7;2015;0
1;7;2016;0
1;7;2017;0
1;7;2018;0
1;7;2019;0
1;7;2020;0
1;7;2021;0
2;1;2015;16031.864704
2;1;2016;16031.864704
2;1;2017;16031.864704
2;1;2018;16031.864704
2;1;2019;16031.864704
2;1;2020;16031.864704
2;1;2021;16031.864704
2;2;2015;36739.689947
2;2;2016;36739.689947
2;2;2017;36739.689947
2;2;2018;36739.689947
2;2;2019;36739.689947
2;2;2020;36739.689947
2;2;2021;36739.689947
2;4;2015;10353.9126213
2;4;2016;10353.9126213
2;4;2017;10353.9126213
2;4;2018;10353.9126213
2;4;2019;10353.9126213
2;4;2020;10353.9126213
2;4;2021;10353.9126213
2;6;2015;12357.895709
2;6;2016;12357.895709
2;6;2017;12357.895709
2;6;2018;12357.895709
2;6;2019;12357.895709
2;6;2020;12357.895709
2;6;2021;12357.895709
2;7;2015;1001.991544
2;7;2016;1001.991544
2;7;2017;1001.991544
2;7;2018;1001.991544
2;7;2019;1001.991544
2;7;2020;1001.991544
2;7;2021;1001.991544
4;1;2015;28393.951444
4;1;2016;28393.951444
4;1;2017;28393.951444
4;1;2018;28393.951444
4;1;2019;28393.951444
4;1;2020;28393.951444
4;1;2021;28393.951444
4;2;2015;47893.412073
4;2;2016;47893.412073
4;2;2017;47893.412073
4;2;2018;47893.412073
4;2;2019;47893.412073
4;2;2020;47893.412073
4;2;2021;47893.412073
4;4;2015;34893.771653
4;4;2016;34893.771653
4;4;2017;34893.771653
4;4;2018;34893.771653
4;4;2019;34893.771653
4;4;2020;34893.771653
4;4;2021;34893.771653
4;6;2015;27025.568241
4;6;2016;27025.568241
4;6;2017;27025.568241
4;6;2018;27025.568241
4;6;2019;27025.568241
4;6;2020;27025.568241
4;6;2021;27025.568241
4;7;2015;684.19160105
4;7;2016;684.19160105
4;7;2017;684.19160105
4;7;2018;684.19160105
4;7;2019;684.19160105
4;7;2020;684.19160105
4;7;2021;684.19160105
5;1;2015;14143.911745
5;1;2016;14143.911745
5;1;2017;14143.911745
5;1;2018;14143.911745
5;1;2019;14143.911745
5;1;2020;14143.911745
