region;peat_type;year;EF_drained_peatland
north;1;1990;-0.404609966158825
north;2;1990;-0.727380732725455
north;4;1990;0.415812668676105
north;6;1990;0.423925075398195
north;7;1990;-0.366382836417285
north;1;1991;-0.411966941262567
north;2;1991;-0.736610097813367
north;4;1991;0.410853828702853
north;6;1991;0.412533426402533
north;7;1991;-0.386980553668927
north;1;1992;-0.375829188180175
north;2;1992;-0.703219389950365
north;4;1992;0.446913462983705
north;6;1992;0.442166560676455
north;7;1992;-0.364139911319325
north;1;1993;-0.306117450001721
north;2;1993;-0.634496161339011
north;4;1993;0.518842457445049
north;6;1993;0.508051490587219
north;7;1993;-0.305695151718711
north;1;1994;-0.276635713479698
north;2;1994;-0.605863417224518
north;4;1994;0.550158225407872
north;6;1994;0.532913226562002
north;7;1994;-0.287499891172448
north;1;1995;-0.289878770600219
north;2;1995;-0.621108668659559
north;4;1995;0.537638700529261
north;6;1995;0.514274425623671
north;7;1995;-0.313432157141089
north;1;1996;-0.315143356212064
north;2;1996;-0.645730986516784
north;4;1996;0.514206576151846
north;6;1996;0.483865407756436
north;7;1996;-0.345469994676094
north;1;1997;-0.27965455869153
north;2;1997;-0.60980460212334
north;4;1997;0.55134386653422
north;6;1997;0.51388697621957
north;7;1997;-0.31870568533314
north;1;1998;-0.29369535512538
north;2;1998;-0.62291017580714
north;4;1998;0.53725933189258
north;6;1998;0.49341617415203
north;7;1998;-0.33711156624811
north;1;1999;-0.294159672978017
north;2;1999;-0.625534306705587
north;4;1999;0.535251038131363
north;6;1999;0.485568139303333
north;7;1999;-0.347921830986657
north;1;2000;-0.292460932845484
north;2;2000;-0.625394802334794
north;4;2000;0.537582832982526
north;6;2000;0.482028827676746
north;7;2000;-0.358518837317674
north;1;2001;-0.313502796359838
north;2;2001;-0.648068527270288
north;4;2001;0.516353321785862
north;6;2001;0.454631019741352
north;7;2001;-0.392007957932038
north;1;2002;-0.307670300167908
north;2;2002;-0.642745255520328
north;4;2002;0.522874807699902
