region;year;peat_type;peat_deg
north;1990;1;-2.90867378134829
north;1991;1;-2.88280123637836
north;1992;1;-2.89515875746822
north;1993;1;-2.8486666805355
north;1994;1;-2.85121393128988
north;1995;1;-2.87964576472505
north;1996;1;-2.8924651905045
north;1997;1;-2.8954327770759
north;1998;1;-2.94104989105442
north;1999;1;-2.96236092265611
north;2000;1;-2.98244275765314
north;2001;1;-3.02641184072182
north;2002;1;-3.02847696325536
north;2003;1;-3.06136491258804
north;2004;1;-3.0652330817368
north;2005;1;-3.10351896712872
north;2006;1;-3.16921243467705
north;2007;1;-3.21989998524793
north;2008;1;-3.23421374100094
north;2009;1;-3.25272915260776
north;2010;1;-3.28081282384876
north;2011;1;-3.3161503279964
north;2012;1;-3.34838891262473
north;2013;1;-3.39232277648529
north;2014;1;-3.41333005905287
north;2015;1;-3.43343503211997
north;2016;1;-3.47585482961587
north;2017;1;-3.48941013017205
north;2018;1;-3.52697618703267
north;2019;1;-3.53094068115537
north;2020;1;-3.57910146380063
north;2021;1;-3.62890502369334
north;2022;1;-3.67808290631066
north;2023;1;-3.67760050631066
north;2024;1;-3.67711810631066
north;2025;1;-3.67663570631066
north;2026;1;-3.67615330631066
north;2027;1;-3.67631410631066
north;2028;1;-3.67647490631066
north;2029;1;-3.67663570631066
north;2030;1;-3.67679650631066
north;2031;1;-3.67695730631066
north;2032;1;-3.68057530631066
north;2033;1;-3.68419330631066
north;2034;1;-3.68781130631066
north;2035;1;-3.69142930631066
north;2036;1;-3.69504730631067
north;2037;1;-3.69866530631066
north;2038;1;-3.70228330631066
north;2039;1;-3.70590130631066
north;2040;1;-3.70951930631066
north;2041;1;-3.71313730631066
north;2042;1;-3.71912710631066
north;2043;1;-3.72511690631066
north;2044;1;-3.73110670631066
north;2045;1;-3.73709650631066
north;2046;1;-3.74308630631066
north;2047;1;-3.74907610631066
north;2048;1;-3.75506590631066
north;2049;1;-3.76105570631066
north;2050;1;-3.76704550631066
north;1990;2;-2.78454199097585
north;1991;2;-2.76560951764281
north;1992;2;-2.78578176560479
north;1993;2;-2.74534587989189
north;1994;2;-2.75380980470653
north;1995;2;-2.78931151410895
north;1996;2;-2.80655635378651
north;1997;2;-2.81415403513773
north;1998;2;-2.86390360801893
north;1999;2;-2.89244213431915
north;2000;2;-2.91915088673065
north;2001;2;-2.9698195128732
