year;total_ktC
1990;-400.996173470706
1991;-550.667037455633
1992;-409.537373697343
1993;-107.259235323921
1994;65.5316264826972
1995;-20.0512945110159
1996;-202.143524772512
1997;-2.01433419753805
1998;-70.3211982534142
1999;-133.564835662167
2000;-161.814388619098
2001;-367.326112845354
2002;-351.563204718822
2003;-445.006880129045
2004;-329.014583737458
2005;-478.986625642363
2006;-899.623465519068
2007;-943.624926534142
2008;-999.817233269484
2009;-1328.16532374261
2010;-1094.37726489397
2011;-1870.42887124338
2012;-1995.85279394559
2013;-1924.11986521825
2014;-1972.83085346562
2015;-1946.56437011827
2016;-2036.41208211515
2017;-1999.33363355625
2018;-1905.68355901645
2019;-2004.91985340101
2020;-2333.20810192207
2021;-2278.11120211577
2022;-2629.8592860165
2023;NA
2024;NA
2025;NA
2026;NA
2027;NA
2028;NA
2029;NA
2030;NA
2031;NA
2032;NA
2033;NA
2034;NA
2035;NA
2036;NA
2037;NA
2038;NA
2039;NA
2040;NA
2041;NA
2042;NA
2043;NA
2044;NA
2045;NA
2046;NA
2047;NA
2048;NA
2049;NA
2050;NA
